Date,Description,Amount
2026-05-08,RENT - PROPERTY MGMT,-2850.00
2026-05-06,PAYROLL DIRECT DEP,6820.00
2026-05-06,LYFT *RIDE WED,-40.55
2026-05-05,NETFLIX.COM,-24.99
2026-05-05,UBER *TRIP 8H2K,-30.26
2026-05-05,AMAZON MKTP US*2K4L1,-243.21
2026-05-03,DROPBOX*PLUS,-11.99
2026-05-03,TRADER JOES #182,-55.42
2026-04-30,SPOTIFY USA,-19.99
2026-04-27,COMCAST XFINITY,-89.99
2026-04-27,COSTCO WHSE #1043,-190.91
2026-04-25,EQUINOX SF UNION,-305.00
2026-04-25,UBER EATS SUSHI,-44.54
2026-04-25,SHELL OIL 5748,-26.09
2026-04-25,UBER EATS SUSHI,-36.18
2026-04-24,VERIZON WIRELESS,-95.00
2026-04-24,AMAZON MKTP US*2K4L1,-149.01
2026-04-22,GRUBHUB*PIZZA CO,-23.66
2026-04-21,UNITED AIRLINES,-356.43
2026-04-18,ADOBE *CREATIVE CLOUD,-59.99
2026-04-14,CVS/PHARMACY #8821,-72.16
2026-04-11,CHASE OVERDRAFT FEE,-35.00
2026-04-08,RENT - PROPERTY MGMT,-2850.00
2026-04-06,PAYROLL DIRECT DEP,6820.00
2026-04-05,NETFLIX.COM,-24.99
2026-04-03,DROPBOX*PLUS,-11.99
2026-04-03,COSTCO WHSE #1043,-174.74
2026-03-31,SPOTIFY USA,-19.99
2026-03-28,COMCAST XFINITY,-89.99
2026-03-28,GRUBHUB*PIZZA CO,-40.09
2026-03-26,EQUINOX SF UNION,-305.00
2026-03-25,VERIZON WIRELESS,-95.00
2026-03-20,CVS/PHARMACY #8821,-57.53
2026-03-19,ADOBE *CREATIVE CLOUD,-59.99
2026-03-17,TRADER JOES #182,-143.06
2026-03-11,BEST BUY #1183,-314.05
2026-03-10,COSTCO WHSE #1043,-145.51
2026-03-09,RENT - PROPERTY MGMT,-2850.00
2026-03-07,PAYROLL DIRECT DEP,6820.00
2026-03-07,UBER EATS SUSHI,-23.84
2026-03-06,NETFLIX.COM,-24.99
2026-03-06,UBER EATS SUSHI,-31.74
2026-03-05,ATM SURCHARGE FEE,-3.50
2026-03-05,AMAZON MKTP US*2K4L1,-281.59
2026-03-04,DROPBOX*PLUS,-11.99
2026-03-02,WALGREENS #4410,-18.29
2026-03-01,SPOTIFY USA,-19.99
2026-02-26,COMCAST XFINITY,-89.99
2026-02-26,DOORDASH*RAMEN YA,-50.63
2026-02-24,EQUINOX SF UNION,-305.00
2026-02-23,VERIZON WIRELESS,-95.00
2026-02-23,WHOLE FOODS MKT 10234,-139.76
2026-02-17,ADOBE *CREATIVE CLOUD,-59.99
2026-02-17,WHOLE FOODS MKT 10234,-94.99
2026-02-14,COSTCO WHSE #1043,-188.21
2026-02-07,RENT - PROPERTY MGMT,-2850.00
2026-02-05,PAYROLL DIRECT DEP,6820.00
2026-02-04,NETFLIX.COM,-24.99
2026-02-03,UBER EATS SUSHI,-56.43
2026-02-03,GRUBHUB*PIZZA CO,-48.40
2026-02-02,DROPBOX*PLUS,-11.99
2026-02-01,AMAZON MKTP US*2K4L1,-70.05
2026-02-01,WHOLE FOODS MKT 10234,-66.77
2026-02-01,DOORDASH*RAMEN YA,-25.52
2026-01-30,SPOTIFY USA,-19.99
2026-01-29,CHASE OVERDRAFT FEE,-35.00
2026-01-27,COMCAST XFINITY,-89.99
2026-01-27,SAFEWAY #2891,-114.20
2026-01-25,EQUINOX SF UNION,-305.00
2026-01-24,VERIZON WIRELESS,-95.00
2026-01-21,COSTCO WHSE #1043,-143.56
2026-01-21,LYFT *RIDE WED,-36.49
2026-01-20,BLUE BOTTLE COFFEE,-13.88
2026-01-20,STARBUCKS STORE 0921,-5.34
2026-01-19,SHELL OIL 5748,-27.52
2026-01-18,ADOBE *CREATIVE CLOUD,-59.99
2026-01-18,FOREIGN TRANSACTION FEE,-12.40
2026-01-16,UBER EATS SUSHI,-35.93
2026-01-15,WHOLE FOODS MKT 10234,-84.43
2026-01-15,DOORDASH*THAI BASIL,-61.32
2026-01-12,STARBUCKS STORE 0921,-10.00
2026-01-09,UBER EATS SUSHI,-33.36
2026-01-08,RENT - PROPERTY MGMT,-2850.00
2026-01-06,PAYROLL DIRECT DEP,6820.00
2026-01-05,NETFLIX.COM,-24.99
2026-01-04,DOORDASH*THAI BASIL,-27.95
2026-01-03,DROPBOX*PLUS,-11.99
2026-01-02,UBER EATS SUSHI,-54.07
2025-12-31,SPOTIFY USA,-19.99
2025-12-28,COMCAST XFINITY,-89.99
2025-12-28,COSTCO WHSE #1043,-181.20
2025-12-28,LYFT *RIDE WED,-51.41
2025-12-26,EQUINOX SF UNION,-305.00
2025-12-25,VERIZON WIRELESS,-95.00
2025-12-23,DOORDASH*THAI BASIL,-41.06
2025-12-21,DOORDASH*RAMEN YA,-63.75
2025-12-19,ADOBE *CREATIVE CLOUD,-59.99
2025-12-18,DOORDASH*RAMEN YA,-36.93
2025-12-15,SAFEWAY #2891,-115.99
2025-12-15,DOORDASH*THAI BASIL,-27.59
2025-12-14,TRADER JOES #182,-80.17
2025-12-12,UBER EATS SUSHI,-33.04
2025-12-12,UBER EATS SUSHI,-49.62
2025-12-10,UBER *TRIP 8H2K,-24.15
2025-12-09,RENT - PROPERTY MGMT,-2850.00
2025-12-07,PAYROLL DIRECT DEP,6820.00
2025-12-06,NETFLIX.COM,-24.99
2025-12-06,CHASE OVERDRAFT FEE,-35.00
2025-12-06,CVS/PHARMACY #8821,-26.02
2025-12-04,DROPBOX*PLUS,-11.99
2025-12-04,COSTCO WHSE #1043,-146.64
2025-12-01,SPOTIFY USA,-19.99
2025-12-01,GRUBHUB*PIZZA CO,-44.06
2025-11-30,WHOLE FOODS MKT 10234,-86.89
2025-11-29,CVS/PHARMACY #8821,-51.79
2025-11-28,COMCAST XFINITY,-89.99
2025-11-27,TRADER JOES #182,-46.62
2025-11-27,LYFT *RIDE WED,-63.60
2025-11-26,EQUINOX SF UNION,-305.00
2025-11-25,VERIZON WIRELESS,-95.00
2025-11-19,ADOBE *CREATIVE CLOUD,-59.99
2025-11-18,ATM SURCHARGE FEE,-3.50
2025-11-16,SAFEWAY #2891,-136.35
2025-11-11,TRADER JOES #182,-142.07
2025-11-10,COSTCO WHSE #1043,-148.62
2025-11-09,RENT - PROPERTY MGMT,-2850.00
2025-11-08,TRADER JOES #182,-58.31
2025-11-07,PAYROLL DIRECT DEP,6820.00
2025-11-06,NETFLIX.COM,-24.99
2025-11-06,AMAZON MKTP US*2K4L1,-177.13
2025-11-04,DROPBOX*PLUS,-11.99
2025-11-01,SPOTIFY USA,-19.99
2025-10-29,COMCAST XFINITY,-89.99
2025-10-28,DOORDASH*THAI BASIL,-43.32
2025-10-27,EQUINOX SF UNION,-305.00
2025-10-26,VERIZON WIRELESS,-95.00
2025-10-26,WHOLE FOODS MKT 10234,-64.56
2025-10-23,BEST BUY #1183,-106.50
2025-10-20,ADOBE *CREATIVE CLOUD,-59.99
2025-10-20,SHELL OIL 5748,-30.78
2025-10-19,TRADER JOES #182,-120.09
2025-10-19,AMAZON MKTP US*2K4L1,-93.30
2025-10-17,COSTCO WHSE #1043,-180.33
2025-10-17,SHELL OIL 5748,-47.07
2025-10-15,SAFEWAY #2891,-50.60
2025-10-10,RENT - PROPERTY MGMT,-2850.00
2025-10-10,CHASE OVERDRAFT FEE,-35.00
2025-10-08,PAYROLL DIRECT DEP,6820.00
2025-10-07,NETFLIX.COM,-24.99
2025-10-05,DROPBOX*PLUS,-11.99
2025-10-02,SPOTIFY USA,-19.99
2025-09-30,AMAZON MKTP US*2K4L1,-21.77
2025-09-29,COMCAST XFINITY,-89.99
2025-09-27,EQUINOX SF UNION,-305.00
2025-09-26,VERIZON WIRELESS,-95.00
2025-09-26,BEST BUY #1183,-72.58
2025-09-24,BEST BUY #1183,-266.22
2025-09-23,COSTCO WHSE #1043,-218.55
2025-09-20,ADOBE *CREATIVE CLOUD,-59.99
2025-09-20,TRADER JOES #182,-101.60
2025-09-15,CVS/PHARMACY #8821,-38.68
2025-09-10,RENT - PROPERTY MGMT,-2850.00
2025-09-10,GRUBHUB*PIZZA CO,-31.15
2025-09-08,PAYROLL DIRECT DEP,6820.00
2025-09-08,DOORDASH*RAMEN YA,-57.04
2025-09-08,SHELL OIL 5748,-42.66
2025-09-07,NETFLIX.COM,-24.99
2025-09-05,DROPBOX*PLUS,-11.99
2025-09-02,SPOTIFY USA,-19.99
2025-09-01,DOORDASH*RAMEN YA,-41.45
2025-08-30,COMCAST XFINITY,-89.99
2025-08-30,COSTCO WHSE #1043,-151.76
2025-08-28,EQUINOX SF UNION,-305.00
2025-08-27,VERIZON WIRELESS,-95.00
2025-08-26,STARBUCKS STORE 0921,-16.28
2025-08-25,WALGREENS #4410,-69.23
2025-08-22,DOORDASH*RAMEN YA,-39.71
2025-08-21,ADOBE *CREATIVE CLOUD,-59.99
2025-08-21,LYFT *RIDE WED,-45.71
2025-08-15,WALGREENS #4410,-14.23
2025-08-14,UBER EATS SUSHI,-22.90
2025-08-11,RENT - PROPERTY MGMT,-2850.00
2025-08-09,PAYROLL DIRECT DEP,6820.00
2025-08-08,NETFLIX.COM,-24.99
2025-08-06,DROPBOX*PLUS,-11.99
2025-08-06,COSTCO WHSE #1043,-161.21
2025-08-05,LYFT *RIDE WED,-65.59
2025-08-03,SPOTIFY USA,-19.99
2025-08-03,WALGREENS #4410,-63.33
2025-07-31,COMCAST XFINITY,-89.99
2025-07-31,AMAZON MKTP US*2K4L1,-282.05
2025-07-31,WHOLE FOODS MKT 10234,-128.84
2025-07-29,EQUINOX SF UNION,-305.00
2025-07-28,VERIZON WIRELESS,-95.00
2025-07-22,ADOBE *CREATIVE CLOUD,-59.99
2025-07-22,DOORDASH*RAMEN YA,-63.95
2025-07-18,GRUBHUB*PIZZA CO,-62.13
2025-07-18,GRUBHUB*PIZZA CO,-22.07
2025-07-13,COSTCO WHSE #1043,-199.61
2025-07-12,RENT - PROPERTY MGMT,-2850.00
2025-07-10,PAYROLL DIRECT DEP,6820.00
2025-07-09,NETFLIX.COM,-24.99
2025-07-05,SHELL OIL 5748,-67.13
2025-07-04,SPOTIFY USA,-19.99
2025-07-02,TRADER JOES #182,-49.08
2025-07-02,WHOLE FOODS MKT 10234,-109.81
2025-07-01,COMCAST XFINITY,-89.99
2025-07-01,WALGREENS #4410,-53.70
2025-06-29,EQUINOX SF UNION,-305.00
2025-06-28,VERIZON WIRELESS,-95.00
2025-06-23,DOORDASH*THAI BASIL,-63.36
2025-06-22,ADOBE *CREATIVE CLOUD,-59.99
2025-06-20,UBER EATS SUSHI,-36.98
2025-06-19,COSTCO WHSE #1043,-230.03
2025-06-18,UBER EATS SUSHI,-39.48
2025-06-12,RENT - PROPERTY MGMT,-2850.00
2025-06-10,PAYROLL DIRECT DEP,6820.00
2025-06-09,NETFLIX.COM,-24.99
2025-06-04,SPOTIFY USA,-19.99
2025-06-01,COMCAST XFINITY,-89.99
2025-05-29,VERIZON WIRELESS,-95.00
2025-05-27,LYFT *RIDE WED,-44.38
2025-05-26,COSTCO WHSE #1043,-194.82
2025-05-26,GRUBHUB*PIZZA CO,-54.93
2025-05-24,MARRIOTT HOTELS,-681.54
2025-05-23,ADOBE *CREATIVE CLOUD,-59.99
2025-05-22,BEST BUY #1183,-270.05
2025-05-13,RENT - PROPERTY MGMT,-2850.00
2025-05-13,GRUBHUB*PIZZA CO,-47.23
2025-05-11,PAYROLL DIRECT DEP,6820.00
2025-05-10,NETFLIX.COM,-24.99
2025-05-05,SPOTIFY USA,-19.99
2025-05-05,TRADER JOES #182,-132.52
2025-05-04,WALGREENS #4410,-22.64
2025-05-02,COMCAST XFINITY,-89.99
2025-05-02,COSTCO WHSE #1043,-177.68
2025-05-01,TRADER JOES #182,-92.33
2025-04-30,WHOLE FOODS MKT 10234,-123.00
2025-04-29,VERIZON WIRELESS,-95.00
2025-04-27,DOORDASH*THAI BASIL,-61.68
2025-04-25,WHOLE FOODS MKT 10234,-79.12
2025-04-24,GRUBHUB*PIZZA CO,-40.72
2025-04-23,ADOBE *CREATIVE CLOUD,-59.99
2025-04-23,TRADER JOES #182,-46.21
2025-04-22,SAFEWAY #2891,-50.53
2025-04-17,TRADER JOES #182,-47.19
2025-04-13,RENT - PROPERTY MGMT,-2850.00
2025-04-11,PAYROLL DIRECT DEP,6820.00
2025-04-10,NETFLIX.COM,-24.99
2025-04-10,AMAZON MKTP US*2K4L1,-186.06
2025-04-09,UBER *TRIP 8H2K,-14.46
2025-04-09,DOORDASH*THAI BASIL,-57.54
2025-04-08,COSTCO WHSE #1043,-232.74
2025-04-05,SPOTIFY USA,-19.99
2025-04-04,MARRIOTT HOTELS,-747.75
2025-04-02,COMCAST XFINITY,-89.99
2025-03-31,BEST BUY #1183,-271.81
2025-03-30,VERIZON WIRELESS,-95.00
2025-03-24,ADOBE *CREATIVE CLOUD,-59.99
2025-03-19,UBER *TRIP 8H2K,-26.91
2025-03-15,COSTCO WHSE #1043,-144.43
2025-03-14,RENT - PROPERTY MGMT,-2850.00
2025-03-12,PAYROLL DIRECT DEP,6820.00
2025-03-11,NETFLIX.COM,-24.99
2025-03-11,UBER EATS SUSHI,-47.76
2025-03-08,AMAZON MKTP US*2K4L1,-227.20
2025-03-08,AMAZON MKTP US*2K4L1,-173.30
2025-03-08,DOORDASH*THAI BASIL,-56.71
2025-03-06,SPOTIFY USA,-19.99
2025-03-05,DOORDASH*THAI BASIL,-51.54
2025-03-03,COMCAST XFINITY,-89.99
2025-02-28,VERIZON WIRELESS,-95.00
2025-02-28,BEST BUY #1183,-229.72
2025-02-24,SAFEWAY #2891,-51.99
2025-02-24,BEST BUY #1183,-308.15
2025-02-22,ADOBE *CREATIVE CLOUD,-59.99
2025-02-19,COSTCO WHSE #1043,-221.55
2025-02-17,GRUBHUB*PIZZA CO,-27.57
2025-02-13,SAFEWAY #2891,-96.12
2025-02-12,RENT - PROPERTY MGMT,-2850.00
2025-02-10,PAYROLL DIRECT DEP,6820.00
2025-02-09,NETFLIX.COM,-24.99
2025-02-04,SPOTIFY USA,-19.99
2025-02-01,COMCAST XFINITY,-89.99
2025-01-29,VERIZON WIRELESS,-95.00
2025-01-23,ADOBE *CREATIVE CLOUD,-59.99
